distanciaNumero;distanciaDescripcion;banderaId;lat;lng;sucursalNombre;id;sucursalTipo;provincia;direccion;banderaDescripcion;localidad;comercioRazonSocial;comercioId;sucursalId
835.3384;835.34 kilómetros;1;-27.396928;-55.909301;Local 3;5-1-3;Hipermercado;AR-N;Av. Lavalle 5495;California Supermercados;Posadas;California S.A.;5;3
837.9961;838.00 kilómetros;2;-27.367221;-55.927509;Posadas;11-2-1051;Hipermercado;AR-N;Av Tambor De Tacuari 5158;Changomas;POSADAS;Wal Mart Argentina S.R.L.;11;1051
1065.964;1065.96 kilómetros;1;-25.60447;-54.56255;PUERTO IGUAZU;19-1-02905;Autoservicio;AR-N;Ruta 12   Km 1639.26 0;FULL;PUERTO IGUAZU;Operadora de Estaciones de Servicios S.A.;19;02905
932.8009;932.80 kilómetros;2;-26.195040;-58.203313;Formosa;11-2-1024;Hipermercado;AR-P;Av Gunitsky 3636;Changomas;FORMOSA;Wal Mart Argentina S.R.L.;11;1024
934.4037;934.40 kilómetros;2;-26.181410;-58.166895;Formosa;10-2-141;Hipermercado;AR-P;España 198;Market;Formosa;INC S.A.;10;141
933.6147;933.61 kilómetros;1;-26.18812;-58.18420;FORMOSA;19-1-01201;Autoservicio;AR-P;Av. Gobernador Gutniski N°1701 0;FULL;FORMOSA;Operadora de Estaciones de Servicios S.A.;19;01201
1035.3993;1035.40 kilómetros;2;-25.287482;-57.723763;Clorinda;11-2-1114;Supermercado;AR-P;Av. Tucumán Y Soldado Argentino None;Changomas;CLORINDA;Wal Mart Argentina S.R.L.;11;1114
937.737;937.74 kilómetros;2;-26.151456;-58.161308;Formosa II;11-2-1086;Hipermercado;AR-P;Dr. Laureano Maradona Y Somacal None;Changomas;FORMOSA;Wal Mart Argentina S.R.L.;11;1086
1356.468;1356.47 kilómetros;1;-40.758890;-71.648190;V.LA ANGOSTURA 2;2-1-177;Supermercado;AR-Q;El Chilco 83;La Anonima;Villa la Angostura;S.A. Importadora y Exportadora de la Patagonia;2;177
989.3391;989.34 kilómetros;2;-38.950660;-68.089550;TOPSY 17;2-2-240;Supermercado;AR-Q;Belgrano 2186;Topsy;Neuquen;S.A. Importadora y Exportadora de la Patagonia;2;240
990.9599;990.96 kilómetros;1;-38.9418903934362;-68.1155990663683;Neuquen III;13-1-124;Autoservicio;AR-Q;Av Del Trabaj Y Dr Ramon 0;Cooperativa Obrera Limitada de Consumo y Vivienda;Neuquén;Cooperativa Obrera Limitada de Consumo y Vivienda;13;124
990.9336;990.93 kilómetros;2;-38.938560;-68.117340;TOPSY 13;2-2-236;Supermercado;AR-Q;Godoy 1450;Topsy;Neuquen;S.A. Importadora y Exportadora de la Patagonia;2;236
1145.54;1145.54 kilómetros;1;-37.178799243985814;-70.6675814688424;Andacollo;13-1-117;Autoservicio;AR-Q;Cordillera Del Viento Esq 0;Cooperativa Obrera Limitada de Consumo y Vivienda;Andacollo;Cooperativa Obrera Limitada de Consumo y Vivienda;13;117
981.5755;981.58 kilómetros;2;-38.948560;-67.992170;TOPSY 20;2-2-243;Autoservicio;AR-R;Toschi 505;Topsy;Cipolletti;S.A. Importadora y Exportadora de la Patagonia;2;243
970.4981;970.50 kilómetros;1;-38.980550;-67.830110;ALLEN;2-1-053;Supermercado;AR-R;Juan B.Justo 301;La Anonima;Allen;S.A. Importadora y Exportadora de la Patagonia;2;053
981.3919;981.39 kilómetros;2;-38.829250;-68.063970;TOPSY 19;2-2-242;Supermercado;AR-R;General Roca 224;Topsy;Cinco Saltos;S.A. Importadora y Exportadora de la Patagonia;2;242
952.4119;952.41 kilómetros;1;-39.027470;-67.565730;AUTOSERVICIO ROCA;2-1-042;Autoservicio;AR-R;San Martin 96;La Anonima;General Roca;S.A. Importadora y Exportadora de la Patagonia;2;042
954.6816;954.68 kilómetros;2;-39.036712;-67.588813;Gral Roca;11-2-1115;Supermercado;AR-R;Chula Vista 1550;Changomas;GENERAL ROCA;Wal Mart Argentina S.R.L.;11;1115
273.5432;273.54 kilómetros;1;-32.943048;-60.637946;Urquiza;22-1-3;Supermercado;AR-S;Urquiza 1145;La Gallega;Rosario;La Gallega Supermercados S.A.;22;3
337.6466;337.65 kilómetros;1;-33.746570;-61.967960;VENADO TUERTO;2-1-067;Supermercado;AR-S;Av.Casey 799;La Anonima;Venado Tuerto;S.A. Importadora y Exportadora de la Patagonia;2;067
466.0994;466.10 kilómetros;1;-31.25759;-61.46484;RIO DE JANEIRO;19-1-02989;Autoservicio;AR-S;Santa Fe 2460 0;FULL;RAFAELA;Operadora de Estaciones de Servicios S.A.;19;02989
393.2036;393.20 kilómetros;1;-34.264470;-62.710670;RUFINO;2-1-114;Supermercado;AR-S;H. Yrigoyen 277;La Anonima;Rufino;S.A. Importadora y Exportadora de la Patagonia;2;114
370.5729;370.57 kilómetros;1;-32.03042;-60.99063;COLASTINE;19-1-00856;Autoservicio;AR-S;Auto. Rosario /Santa Fe Km 101 0;FULL;AROCENA;Operadora de Estaciones de Servicios S.A.;19;00856
1084.5067;1084.51 kilómetros;1;-26.8094;-65.2479;America y Belgrano Tucuman;9-1-72;Supermercado;AR-T;Av. De Las Américas Esq. Belgrano 0;Vea;SAN MIGUEL DE TUCUMAN;Jumbo Retail Argentina S.A.;9;72
1086.032;1086.03 kilómetros;1;-26.8149;-65.2825;Yerba Buena.;9-1-70;Supermercado;AR-T;Av. Aconquija Y L.L. De La Vega 0;Vea;YERBA BUENA;Jumbo Retail Argentina S.A.;9;70
1079.7875;1079.79 kilómetros;1;-26.83612;-65.20862;TUCUMAN;19-1-02446;Autoservicio;AR-T;B. Araoz Y W.Pose 0;FULL;S.M. DE TUCUMAN;Operadora de Estaciones de Servicios S.A.;19;02446
1038.3283;1038.33 kilómetros;1;-27.5889;-65.6202;Stop Alberdi.;9-1-906;Supermercado;AR-T;Rivadavia 732;Vea;JUAN BAUTISTA ALBERDI;Jumbo Retail Argentina S.A.;9;906
1079.9334;1079.93 kilómetros;2;-26.830278;-65.202010;Tucumán II;10-2-177;Supermercado;AR-T;San Martín 344;Market;San Miguel de Tucumán;INC S.A.;10;177
1455.7722;1455.77 kilómetros;1;-42.914300;-71.322760;ESQUEL;2-1-015;Supermercado;AR-U;Roca 710;La Anonima;Esquel;S.A. Importadora y Exportadora de la Patagonia;2;015
1130.7913;1130.79 kilómetros;1;-43.262120;-65.293490;TRELEW FONTANA;2-1-016;Supermercado;AR-U;H.Yrigoyen 1650;La Anonima;Trelew;S.A. Importadora y Exportadora de la Patagonia;2;016
1467.1042;1467.10 kilómetros;1;-45.836750;-67.478320;GRAL.MOSCONI KM.3;2-1-023;Supermercado;AR-U;Fco.De Viedma 23;La Anonima;Comodoro Rivadavia;S.A. Importadora y Exportadora de la Patagonia;2;023
1454.1483;1454.15 kilómetros;1;-42.914260;-71.298990;ESQUEL 3;2-1-189;Supermercado;AR-U;Av. Holdich 424;La Anonima;Esquel;S.A. Importadora y Exportadora de la Patagonia;2;189
1130.1892;1130.19 kilómetros;1;-43.247020;-65.310710;TRELEW;2-1-012;Supermercado;AR-U;Belgrano 292;La Anonima;Trelew;S.A. Importadora y Exportadora de la Patagonia;2;012
2318.5931;2318.59 kilómetros;1;-54.501320;-67.205510;TOLHUIN;2-1-211;Supermercado;AR-V;Constitucion Nacional 1146;La Anonima;Tolhuin;S.A. Importadora y Exportadora de la Patagonia;2;211
2376.0045;2376.00 kilómetros;1;-54.798090;-68.278780;USHUAIA;2-1-038;Hipermercado;AR-V;Perito Moreno 1550;La Anonima;Ushuaia;S.A. Importadora y Exportadora de la Patagonia;2;038
2256.9713;2256.97 kilómetros;1;-53.786300;-67.700840;RIO GRANDE;2-1-035;Supermercado;AR-V;San Martin 553;La Anonima;Rio Grande;S.A. Importadora y Exportadora de la Patagonia;2;035
2258.0853;2258.09 kilómetros;1;-53.791950;-67.721140;AUTOSERVICE 2 RIO GRANDE;2-1-037;Supermercado;AR-V;25 De Mayo 1926;La Anonima;Rio Grande;S.A. Importadora y Exportadora de la Patagonia;2;037
2379.5012;2379.50 kilómetros;1;-54.817910;-68.335060;AUTOSERVICIO USHUAIA;2-1-056;Supermercado;AR-V;C.Rubino De Rio 188;La Anonima;Ushuaia;S.A. Importadora y Exportadora de la Patagonia;2;056
488.9945;488.99 kilómetros;1;-30.250668;-57.63942;1063 - MONTE CASEROS;15-1-1063;Autoservicio;AR-W;Perello 279;Supermercados DIA;CORRIENTES;DIA Argentina S.A;15;1063
